Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.031612903225806455,0.030623406093536937,0.01619171962820266,0
PDice2(obs2),0.05032258064516129,0.047805639696468165,0.020230461743705633,0
PDice2(obs3),0.0867741935483871,0.07927000385139847,0.026050776203322426,0
PDice2(obs4),0.11387096774193549,0.10093693074769176,0.02939620556456276,0
PDice2(obs5),0.14193548387096774,0.12182910199960445,0.03229548045405499,0
PDice2(obs6),0.15516129032258064,0.1311285638447366,0.03350540567941597,0
PDice2(obs7),0.1270967741935484,0.11097898385535397,0.030823829967940152,0
PDice2(obs8),0.12451612903225806,0.10904703910730829,0.030554358310616793,0
PDice2(obs9),0.08580645161290322,0.07846901706065433,0.0259188265012435,0
PDice2(obs10),0.052580645161290324,0.0498319957530525,0.020654770260364254,0
PDice2(obs11),0.03032258064516129,0.029412609686787623,0.015868395208737552,0
