Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.0874025974025974,0.07976856314670458,0.01172472322371984,0
PDice2(obs4),0.11681818181818182,0.1031783941105975,0.013334633905669916,0
PDice2(obs5),0.14084415584415585,0.12101493772154204,0.014441297194688311,0
PDice2(obs6),0.16272727272727272,0.13625595522731698,0.015323728939951174,0
PDice2(obs7),0.13142857142857142,0.11416251519115342,0.0140264729671295,0
PDice2(obs8),0.11558441558441558,0.10223129685432432,0.013273292039384633,0
PDice2(obs9),0.08025974025974025,0.07382290804850712,0.011279303672996533,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
