Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08518918918918919,0.07793620400226163,0.01057379376578337,0
PDice2(obs4),0.11594594594594594,0.10250802453894513,0.012126630454574122,0
PDice2(obs5),0.142,0.12184258608573435,0.013220892232064543,0
PDice2(obs6),0.16194594594594594,0.13572679312103064,0.013953848550566939,0
PDice2(obs7),0.13389189189189188,0.11597112188679301,0.01289840888928972,0
PDice2(obs8),0.11318918918918919,0.10038282273840954,0.012000267108630705,0
PDice2(obs9),0.0812972972972973,0.07469208415940672,0.010351385913867979,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
