Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08524064171122994,0.07797884470358304,0.01051997409235504,0
PDice2(obs4),0.11598930481283422,0.10254126947221577,0.012063563562915103,0
PDice2(obs5),0.1423529411764706,0.12209511046517114,0.013163622158302827,0
PDice2(obs6),0.1622994652406417,0.13596561971199808,0.013891233938660156,0
PDice2(obs7),0.13352941176470587,0.11570549541812554,0.012814547200374673,0
PDice2(obs8),0.11342245989304812,0.10056318319518931,0.01194664002946037,0
PDice2(obs9),0.08112299465240641,0.07454604081032673,0.010285811553484842,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
