Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08698717948717949,0.07942550147034409,0.01162424510634155,0
PDice2(obs4),0.11679487179487179,0.1031604425661737,0.013247727136866118,0
PDice2(obs5),0.1416025641025641,0.12155907019023243,0.014380648157965551,0
PDice2(obs6),0.16294871794871796,0.1364051771892018,0.015233517755386465,0
PDice2(obs7),0.13147435897435897,0.11419617217408742,0.013938323802099587,0
PDice2(obs8),0.11538461538461539,0.10207754934981039,0.01317801184589978,0
PDice2(obs9),0.08012820512820513,0.07371240102504928,0.01119837624463764,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
