Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.05132743362831858,0.04869723767550892,0.010694488477672232,0
PDice2(obs3),0.0863716814159292,0.07891859801204115,0.013614369526186587,0
PDice2(obs4),0.11787610619469027,0.1039905324850582,0.01562804865010626,0
PDice2(obs5),0.14053097345132742,0.12079270857237738,0.016843339919933087,0
PDice2(obs6),0.1634513274336283,0.13674709250642433,0.017921192470501127,0
PDice2(obs7),0.12973451327433627,0.11291346168154909,0.01628473570659921,0
PDice2(obs8),0.1168141592920354,0.10317774225458122,0.015566854410664315,0
PDice2(obs9),0.08132743362831858,0.0747198945477985,0.01324725751366002,0
PDice2(obs10),0.05530973451327434,0.0522551921346317,0.011078286131142367,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
