Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.05172413793103448,0.049052980191514724,0.010593775848999357,0
PDice2(obs3),0.08663793103448277,0.07913862223556728,0.013455886747650983,0
PDice2(obs4),0.11793103448275861,0.10403227388805812,0.015427733429258838,0
PDice2(obs5),0.14103448275862068,0.12115420175936689,0.01664896808910247,0
PDice2(obs6),0.16405172413793104,0.13715057927110244,0.017714010743826173,0
PDice2(obs7),0.12939655172413794,0.11266279643607802,0.01605492732546486,0
PDice2(obs8),0.11603448275862069,0.10257932461478546,0.015319620192258883,0
PDice2(obs9),0.08068965517241379,0.07418522999901894,0.013027971636212386,0
PDice2(obs10),0.05517241379310345,0.052132912765963775,0.01092129343281262,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
