Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.028,0.027220949263502454,0.011460864119253306,0
PDice2(obs2),0.048545454545454544,0.04619719287804394,0.014930471538635467,0
PDice2(obs3),0.08690909090909091,0.07937033179586371,0.019570180370875056,0
PDice2(obs4),0.11890909090909091,0.10478877151217578,0.022486564294445593,0
PDice2(obs5),0.1450909090909091,0.12406209393443436,0.024467257012530077,0
PDice2(obs6),0.15763636363636363,0.13281128800277736,0.02531530853200205,0
PDice2(obs7),0.13036363636363638,0.11338957496404306,0.02339118879205539,0
PDice2(obs8),0.12163636363636364,0.10686038783911125,0.0227077499635141,0
PDice2(obs9),0.07872727272727273,0.07254247879779795,0.018709489007261684,0
PDice2(obs10),0.054181818181818185,0.051255467936318994,0.015726635888186288,0
PDice2(obs11),0.03,0.02910529187124932,0.011850910271391353,0
