Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08544502617801047,0.0781482652116596,0.010420536100091386,0
PDice2(obs4),0.11581151832460733,0.102404572043875,0.011928616189018259,0
PDice2(obs5),0.14230366492146596,0.12205972243276901,0.013023166128826348,0
PDice2(obs6),0.16282722513089004,0.13632165714660097,0.013762990814374522,0
PDice2(obs7),0.13382198952879581,0.11591973374335818,0.012691386759762818,0
PDice2(obs8),0.11272251308900523,0.10002138485362437,0.011788996079579672,0
PDice2(obs9),0.08115183246073299,0.07457011674359201,0.010179180210769027,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
