Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08797297297297298,0.0802391505634968,0.011995252071330132,0
PDice2(obs4),0.11722972972972973,0.10349391302918569,0.01362302712504297,0
PDice2(obs5),0.14033783783783785,0.12065128122243468,0.01470896744030281,0
PDice2(obs6),0.16283783783783784,0.13633088795261916,0.015635556715652574,0
PDice2(obs7),0.13155405405405404,0.11425530486902877,0.014313782187809189,0
PDice2(obs8),0.11486486486486487,0.10167779780591457,0.013502969393771543,0
PDice2(obs9),0.08033783783783784,0.07388866212654982,0.01151078968805156,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
