Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.027857142857142858,0.027100479934647197,0.022665825893649693,0
PDice2(obs2),0.045,0.04300571837026448,0.028552632835286754,0
PDice2(obs3),0.08428571428571428,0.07723680179720208,0.03826442561656622,0
PDice2(obs4),0.10642857142857143,0.09516950883283978,0.042474861495641225,0
PDice2(obs5),0.15071428571428572,0.128090983355458,0.049276781843164606,0
PDice2(obs6),0.15571428571428572,0.13156131930971102,0.04993984239101704,0
PDice2(obs7),0.13857142857142857,0.11945471254978045,0.04758660274466527,0
PDice2(obs8),0.12785714285714286,0.11158940059225977,0.04599329562010965,0
PDice2(obs9),0.08214285714285714,0.07544930052078015,0.03781905444065209,0
PDice2(obs10),0.052142857142857144,0.04945930766874298,0.030620133075207945,0
PDice2(obs11),0.029285714285714286,0.028448381496987647,0.023222653330556235,0
