Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.032758620689655175,0.03169642326129105,0.017031512009370676,0
PDice2(obs2),0.05068965517241379,0.048136812931926586,0.020988758124160876,0
PDice2(obs3),0.08724137931034483,0.07965778924956286,0.02699990281302531,0
PDice2(obs4),0.11517241379310345,0.10194288161197083,0.03054404346706624,0
PDice2(obs5),0.14172413793103447,0.12168036540543112,0.03337016306862938,0
PDice2(obs6),0.15551724137931033,0.1313769314032187,0.034674294475975115,0
PDice2(obs7),0.13,0.1131390134529148,0.03217764603811135,0
PDice2(obs8),0.12103448275862069,0.10642183392608628,0.031207820951466722,0
PDice2(obs9),0.08413793103448276,0.07708532074080242,0.02656035761526435,0
PDice2(obs10),0.05137931034482759,0.04875628932687848,0.02112337937740576,0
PDice2(obs11),0.030344827586206897,0.02943416873832832,0.016412470705000803,0
