Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.05107142857142857,0.0484674652073527,0.01071675290915347,0
PDice2(obs3),0.08616071428571428,0.07874407632058984,0.01365988397161082,0
PDice2(obs4),0.11803571428571429,0.10411258020486522,0.01570687070457667,0
PDice2(obs5),0.14098214285714286,0.12111699226971796,0.016941060857491697,0
PDice2(obs6),0.16330357142857144,0.13664771567614456,0.01799447796524737,0
PDice2(obs7),0.12973214285714285,0.11291179537713826,0.016357153168338676,0
PDice2(obs8),0.11660714285714285,0.10301911522712487,0.015624170577536307,0
PDice2(obs9),0.08142857142857143,0.0748046381692243,0.013313809151317933,0
PDice2(obs10),0.055535714285714285,0.052456182312196245,0.011149012539966741,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
