Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03222222222222222,0.031195504507842413,0.017511010158742797,0
PDice2(obs2),0.04925925925925926,0.04685013653891015,0.021459550638331253,0
PDice2(obs3),0.0874074074074074,0.07979690694770354,0.028006460277991266,0
PDice2(obs4),0.11222222222222222,0.09966530813881684,0.03129948560007947,0
PDice2(obs5),0.14333333333333334,0.12283438310485364,0.034747628343282086,0
PDice2(obs6),0.15777777777777777,0.13293318513029515,0.0361478023138935,0
PDice2(obs7),0.12962962962962962,0.11286759156340483,0.03330809710542502,0
PDice2(obs8),0.12407407407407407,0.10871996487039094,0.03269037066016258,0
PDice2(obs9),0.08259259259259259,0.07579912999327598,0.027295892784317675,0
PDice2(obs10),0.05148148148148148,0.04884923085367695,0.021912607423110353,0
PDice2(obs11),0.03,0.029110781771026304,0.016915783864240752,0
