Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.029512195121951218,0.02864821283001803,0.01361770475740041,0
PDice2(obs2),0.04853658536585366,0.04619205160092586,0.017291743022107814,0
PDice2(obs3),0.08609756097560975,0.07870396705918756,0.022571138132858402,0
PDice2(obs4),0.1173170731707317,0.10357904069404197,0.025893519766356028,0
PDice2(obs5),0.14536585365853658,0.12426493076836112,0.028361515780145626,0
PDice2(obs6),0.1578048780487805,0.13293492166441548,0.029334229733484235,0
PDice2(obs7),0.1302439024390244,0.11330806442975383,0.027082300791283005,0
PDice2(obs8),0.12292682926829268,0.1078421268721104,0.02642100718212159,0
PDice2(obs9),0.07951219512195122,0.07320786152482163,0.021768775839722112,0
PDice2(obs10),0.05365853658536585,0.05079168625304208,0.018132240158117624,0
PDice2(obs11),0.02902439024390244,0.02818885034422435,0.013508086370784553,0
