Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.025714285714285714,0.025088902513795218,0.030841741104468186,0
PDice2(obs2),0.055714285714285716,0.05268546903740037,0.04469340887420529,0
PDice2(obs3),0.08,0.07370529327610872,0.05286246304379618,0
PDice2(obs4),0.11142857142857143,0.09915389331698345,0.061313052898191424,0
PDice2(obs5),0.15428571428571428,0.13066830165542612,0.07038549649769785,0
PDice2(obs6),0.15,0.1276824034334764,0.06957666047712066,0
PDice2(obs7),0.13285714285714287,0.11537093807480074,0.06613727044733225,0
PDice2(obs8),0.13285714285714287,0.11537093807480074,0.06613727044733225,0
PDice2(obs9),0.08428571428571428,0.07729204986715717,0.054133420305736306,0
PDice2(obs10),0.05,0.047567954220314734,0.04246736278090666,0
PDice2(obs11),0.022857142857142857,0.02236664622930717,0.02912047733547886,0
