Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08687898089171975,0.07933607682423685,0.0115806412862649,0
PDice2(obs4),0.11681528662420382,0.10317604715785783,0.013206468253031832,0
PDice2(obs5),0.14152866242038217,0.12150603937205624,0.014331649601100175,0
PDice2(obs6),0.16286624203821656,0.13634951392498124,0.015181827273452825,0
PDice2(obs7),0.13127388535031848,0.11404831659933712,0.013884865867822505,0
PDice2(obs8),0.1154140127388535,0.10210012159482752,0.01313742890175358,0
PDice2(obs9),0.08038216560509553,0.07392558169350719,0.011178785535108033,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
