Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.02909090909090909,0.028251048792080846,0.01305383216481455,0
PDice2(obs2),0.04863636363636364,0.04628138626547356,0.01670797883493067,0
PDice2(obs3),0.08681818181818182,0.07929880758023518,0.021870266009920192,0
PDice2(obs4),0.11727272727272728,0.10354336729421976,0.02499089899286447,0
PDice2(obs5),0.14477272727272728,0.12384173055859804,0.02733091950600051,0
PDice2(obs6),0.1575,0.13272391452602864,0.02829406377449931,0
PDice2(obs7),0.13204545454545455,0.11463550600343053,0.026295432184360083,0
PDice2(obs8),0.12136363636363637,0.10665874475603959,0.025364071637779227,0
PDice2(obs9),0.07977272727272727,0.07342572692140775,0.02104480298571598,0
PDice2(obs10),0.05409090909090909,0.05117671371592717,0.017569400152363066,0
PDice2(obs11),0.028636363636363637,0.027822645642604723,0.01295447893782251,0
