Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.0275,0.02681077694235589,0.042176620633423804,0
PDice2(obs2),0.0575,0.05432957393483709,0.06003924595089293,0
PDice2(obs3),0.0825,0.07588345864661654,0.070956247212502,0
PDice2(obs4),0.1275,0.11152255639097745,0.0860198018095655,0
PDice2(obs5),0.1325,0.11523182957393484,0.08743862272300244,0
PDice2(obs6),0.1575,0.1330263157894737,0.09394763703670006,0
PDice2(obs7),0.1275,0.11152255639097745,0.0860198018095655,0
PDice2(obs8),0.135,0.11706766917293233,0.08813239360671903,0
PDice2(obs9),0.0875,0.0800438596491228,0.07287542331393924,0
PDice2(obs10),0.045,0.0430827067669173,0.053464876759477635,0
PDice2(obs11),0.02,0.019649122807017545,0.03610677195836386,0
