Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.05137931034482759,0.04874507969604116,0.012194186736192634,0
PDice2(obs3),0.08563218390804597,0.07830831394281017,0.015455796308997474,0
PDice2(obs4),0.12011494252873563,0.10569949247700555,0.017956591379242364,0
PDice2(obs5),0.14275862068965517,0.12239266503085967,0.019322581360632,0
PDice2(obs6),0.16218390804597702,0.13589590823624859,0.02036060315310757,0
PDice2(obs7),0.1289655172413793,0.11234632597484451,0.01851257735054387,0
PDice2(obs8),0.1167816091954023,0.1031555219056755,0.017739186075077497,0
PDice2(obs9),0.08057471264367816,0.07409094452658715,0.015033843139495122,0
PDice2(obs10),0.05551724137931034,0.05244110500216038,0.012648043950948203,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
