Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.086793893129771,0.07926676414317509,0.012672345125845903,0
PDice2(obs4),0.1167175572519084,0.10310243949628461,0.014452597171399552,0
PDice2(obs5),0.14122137404580154,0.12128715611995322,0.015675407294832,0
PDice2(obs6),0.16396946564885495,0.13709394517033816,0.01666558506157708,0
PDice2(obs7),0.13122137404580153,0.11401102817125483,0.015197944651037444,0
PDice2(obs8),0.11580152671755725,0.10239934987170515,0.014403234352742367,0
PDice2(obs9),0.08053435114503817,0.07405422242476407,0.0122485968494708,0
PDice2(obs10),0.05549618320610687,0.05242035840973817,0.010305318538466569,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
