Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.0874264705882353,0.07978894966325378,0.012478115323847107,0
PDice2(obs4),0.11727941176470588,0.10353256402936202,0.014213993283064665,0
PDice2(obs5),0.13970588235294118,0.12019698680266282,0.015315261315874544,0
PDice2(obs6),0.16345588235294117,0.1367481118853895,0.016335720358487946,0
PDice2(obs7),0.13125,0.11403182219280829,0.014917314746878768,0
PDice2(obs8),0.11522058823529412,0.10195230077471094,0.014105098930741553,0
PDice2(obs9),0.08169117647058824,0.07502324457248154,0.012099726180804805,0
PDice2(obs10),0.05529411764705883,0.05224051941535493,0.010096744447717108,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
