Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.050275229357798164,0.047752011589313394,0.01078275312303136,0
PDice2(obs3),0.08577981651376147,0.07842883489858088,0.013818843803660373,0
PDice2(obs4),0.1181651376146789,0.10421169857347404,0.015929130255538267,0
PDice2(obs5),0.14155963302752295,0.12153165301757336,0.017201983580126187,0
PDice2(obs6),0.16357798165137616,0.13683277903620483,0.018252774986066204,0
PDice2(obs7),0.1291743119266055,0.11249863004012658,0.016550359934806913,0
PDice2(obs8),0.11724770642201834,0.10351017810740991,0.01587542476664644,0
PDice2(obs9),0.08128440366972477,0.07468410114218037,0.01348490544259796,0
PDice2(obs10),0.05568807339449541,0.05259173680608691,0.011315990728014796,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
