Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.02,0.019797979797979797,0.07390983047769326,0
PDice2(obs2),0.05,0.047979797979797977,0.11505910070945977,0
PDice2(obs3),0.11,0.09888888888888887,0.16518306352772527,0
PDice2(obs4),0.09,0.08272727272727272,0.15108318142018398,0
PDice2(obs5),0.13,0.11424242424242424,0.17754378447680674,0
PDice2(obs6),0.2,0.16161616161616163,0.21117094422198068,0
PDice2(obs7),0.13,0.11424242424242424,0.17754378447680674,0
PDice2(obs8),0.14,0.12161616161616161,0.18318394766439325,0
PDice2(obs9),0.08,0.07434343434343435,0.14322310265616134,0
PDice2(obs10),0.02,0.019797979797979797,0.07390983047769326,0
PDice2(obs11),0.03,0.029393939393939396,0.0900576613756724,0
