Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03214285714285714,0.031120808451998164,0.01717487143720628,0
PDice2(obs2),0.04964285714285714,0.0471952993416016,0.0211503438400207,0
PDice2(obs3),0.0875,0.07987227581279029,0.027514782813870157,0
PDice2(obs4),0.11357142857142857,0.10070892665747973,0.030895984833266575,0
PDice2(obs5),0.14107142857142857,0.12121357117337825,0.03389562785492907,0
PDice2(obs6),0.1575,0.1327411575562701,0.035470789895866994,0
PDice2(obs7),0.13071428571428573,0.11366865717348032,0.032823767240978866,0
PDice2(obs8),0.12285714285714286,0.10780176593681418,0.03196546284436762,0
PDice2(obs9),0.08392857142857142,0.0769120349104272,0.027000089920612657,0
PDice2(obs10),0.05107142857142857,0.04848045220231715,0.02143637721035122,0
PDice2(obs11),0.03,0.029110396570203645,0.016610860098915655,0
