Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03266666666666666,0.03161009225297321,0.01672242780010203,0
PDice2(obs2),0.05,0.04751583861287096,0.020502444605695523,0
PDice2(obs3),0.08766666666666667,0.08000789151939536,0.026604362737388525,0
PDice2(obs4),0.11466666666666667,0.10155207291319329,0.029973043520212277,0
PDice2(obs5),0.14133333333333334,0.12139868845170612,0.032771283066665914,0
PDice2(obs6),0.15533333333333332,0.1312486384350339,0.03407484204005977,0
PDice2(obs7),0.12866666666666668,0.11214893853506723,0.0314980763665435,0
PDice2(obs8),0.123,0.10790696898966322,0.030896635885395204,0
PDice2(obs9),0.08466666666666667,0.0775240635767478,0.026188143523936336,0
PDice2(obs10),0.052,0.04931243747915972,0.02088645250933558,0
PDice2(obs11),0.03,0.02910970323441147,0.016047424343560882,0
