Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.0510077519379845,0.0484097138712153,0.009979722790895141,0
PDice2(obs3),0.08543956043956044,0.07814393557428889,0.010674782160911599,0
PDice2(obs4),0.11593406593406594,0.10249899010270459,0.012225627928686054,0
PDice2(obs5),0.14192307692307693,0.12178760878661972,0.013326402708140193,0
PDice2(obs6),0.16192307692307692,0.1357114507559587,0.014067587586873829,0
PDice2(obs7),0.13302197802197802,0.11533346838885605,0.012968479431630266,0
PDice2(obs8),0.11351648351648351,0.10063602093823534,0.01211401507167589,0
PDice2(obs9),0.0810989010989011,0.07452596417264806,0.010424738817999298,0
PDice2(obs10),0.055179856115107916,0.052138790586352415,0.00997746359029961,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
