Property,ObtainedValue,Variance,CI,Problems
PDice2(obs1),0.03,0.029103731247595844,0.009951169175779232,0
PDice2(obs2),0.05130081300813008,0.04867299674704203,0.010247986923927888,0
PDice2(obs3),0.0873170731707317,0.07969928152001253,0.013113593667702773,0
PDice2(obs4),0.11691056910569106,0.10325088231775074,0.014925930164175667,0
PDice2(obs5),0.14146341463414633,0.12146139186410157,0.016188762297552117,0
PDice2(obs6),0.16439024390243903,0.1373772604951027,0.01721678060910261,0
PDice2(obs7),0.12926829268292683,0.11256715299082416,0.015584768682373008,0
PDice2(obs8),0.11560975609756098,0.1022524536002332,0.014853588511020522,0
PDice2(obs9),0.0808130081300813,0.07428830554668665,0.01266061334990852,0
PDice2(obs10),0.0559349593495935,0.0528105332114383,0.010674678301775806,0
PDice2(obs11),0.028219178082191782,0.027426613140850594,0.009985544135117796,0
